episode,reward_mean,policy_loss,value_loss,entropy,avg_speed,avg_waiting,lr,entropy_coef,timestamp
52,-0.133580,-0.000049,0.931945,1.370669,0.3606,131.2917,0.00005913,0.049483,2026-04-19T10:11:41.125284
53,-0.135766,-0.000029,0.929693,1.372443,0.3451,131.3465,0.00005908,0.049473,2026-04-19T10:11:57.710846
54,-0.054918,-0.000054,0.937387,1.361554,0.9991,85.7206,0.00005902,0.049463,2026-04-19T10:12:12.919249
55,0.137602,-0.000069,0.945205,1.348273,3.3326,10.2596,0.00005896,0.049453,2026-04-19T10:12:25.857084
56,-0.045722,-0.000076,0.931962,1.363685,0.9177,94.6418,0.00005890,0.049443,2026-04-19T10:12:40.533504
57,-0.131385,-0.000038,0.928435,1.365305,0.3727,117.3872,0.00005884,0.049433,2026-04-19T10:12:57.845465
58,0.054986,-0.000081,0.937731,1.355109,2.0381,39.5796,0.00005878,0.049423,2026-04-19T10:13:11.925859
59,0.160675,-0.000158,0.934082,1.330552,4.1382,4.1173,0.00005871,0.049413,2026-04-19T10:13:24.662445
60,-0.074763,-0.000072,0.936141,1.332553,0.6889,114.4772,0.00005865,0.049404,2026-04-19T10:13:40.164599
61,-0.138816,-0.000082,0.929125,1.337491,0.2687,137.5821,0.00005858,0.049394,2026-04-19T10:13:58.380417
62,-0.110133,-0.000047,0.932179,1.337965,0.4333,123.3175,0.00005851,0.049384,2026-04-19T10:14:15.184076
63,0.130906,-0.000056,0.941353,1.336069,3.0357,8.7009,0.00005844,0.049374,2026-04-19T10:14:28.042633
64,0.171731,-0.000045,0.930426,1.335099,4.9969,2.8610,0.00005836,0.049364,2026-04-19T10:14:40.256895
65,0.029598,-0.000155,0.939255,1.335429,1.4842,66.3904,0.00005829,0.049354,2026-04-19T10:14:54.492535
66,-0.135419,-0.000047,0.927404,1.330266,0.2423,133.8427,0.00005821,0.049344,2026-04-19T10:15:12.431067
67,-0.123340,-0.000060,0.921653,1.332059,0.2894,130.2203,0.00005814,0.049334,2026-04-19T10:15:29.950066
68,0.161476,-0.000037,0.946091,1.322809,3.5880,7.4639,0.00005806,0.049325,2026-04-19T10:15:42.319449
69,-0.133976,-0.000062,0.930351,1.348376,0.2922,131.1699,0.00005798,0.049315,2026-04-19T10:15:59.447558
70,0.115636,-0.000059,0.942683,1.348271,2.8075,11.6175,0.00005789,0.049305,2026-04-19T10:16:12.740422
71,0.113208,-0.000064,0.871060,1.357323,2.5784,12.1626,0.00005781,0.049295,2026-04-19T10:16:26.417816
72,-0.048495,-0.000088,0.937666,1.352236,1.0377,87.8592,0.00005773,0.049285,2026-04-19T10:16:41.095627
73,0.174897,-0.000041,0.933195,1.350373,5.1181,2.4715,0.00005764,0.049275,2026-04-19T10:16:53.102266
74,-0.113977,-0.000094,0.938119,1.365815,0.5039,119.4663,0.00005755,0.049265,2026-04-19T10:17:09.939268
75,0.175483,-0.000046,0.925692,1.368730,5.2078,1.9401,0.00005746,0.049256,2026-04-19T10:17:22.008788
76,0.148236,-0.000059,0.927236,1.362627,3.6204,6.3153,0.00005737,0.049246,2026-04-19T10:17:34.789541
77,0.137119,-0.000068,0.951387,1.359422,3.3423,6.9396,0.00005728,0.049236,2026-04-19T10:17:47.605794
78,0.139167,-0.000043,0.926518,1.355068,2.8651,9.3690,0.00005718,0.049226,2026-04-19T10:18:00.622690
79,0.167234,-0.000074,0.946524,1.352525,4.9205,2.2514,0.00005708,0.049216,2026-04-19T10:18:12.805329
80,0.139177,-0.000045,0.929389,1.354563,3.1329,9.9021,0.00005699,0.049206,2026-04-19T10:18:25.698052
81,0.170775,-0.000031,0.935623,1.362398,5.0856,2.2417,0.00005689,0.049196,2026-04-19T10:18:37.820247
82,-0.128533,-0.000087,0.926282,1.367024,0.4113,129.2011,0.00005679,0.049187,2026-04-19T10:18:55.303532
83,0.163058,-0.000052,0.946181,1.372871,5.0405,2.2196,0.00005669,0.049177,2026-04-19T10:19:07.522855
84,-0.139340,-0.000026,0.932047,1.374000,0.2978,131.0181,0.00005658,0.049167,2026-04-19T10:19:25.600112
85,0.147789,-0.000061,0.937905,1.368688,3.5760,5.6434,0.00005648,0.049157,2026-04-19T10:19:38.193685
86,-0.010863,-0.000075,0.939773,1.376615,1.4076,76.1742,0.00005637,0.049147,2026-04-19T10:19:52.479539
87,-0.120771,-0.000031,0.926019,1.379336,0.3821,122.2127,0.00005626,0.049137,2026-04-19T10:20:09.095162
88,-0.074838,-0.000080,0.927387,1.376407,0.8155,112.9553,0.00005615,0.049128,2026-04-19T10:20:24.413534
89,0.162348,-0.000069,0.939466,1.370196,4.6126,2.5490,0.00005604,0.049118,2026-04-19T10:20:36.586439
90,0.163200,-0.000076,0.942813,1.357490,3.8849,5.6557,0.00005593,0.049108,2026-04-19T10:20:49.365980
91,0.165426,-0.000073,0.927035,1.360437,3.8047,5.7245,0.00005582,0.049098,2026-04-19T10:21:01.752576
92,0.157014,-0.000091,0.934819,1.366804,4.7570,2.5684,0.00005570,0.049088,2026-04-19T10:21:13.988080
93,-0.149076,-0.000055,0.918386,1.366155,0.3476,117.3166,0.00005558,0.049079,2026-04-19T10:21:31.457671
94,0.140951,-0.000053,0.936449,1.357901,3.2068,8.2626,0.00005547,0.049069,2026-04-19T10:21:44.058772
95,0.153174,-0.000044,0.935881,1.358312,4.6167,3.3604,0.00005535,0.049059,2026-04-19T10:21:56.333170
96,0.139424,-0.000072,0.933321,1.363355,3.0843,8.1045,0.00005523,0.049049,2026-04-19T10:22:08.992172
97,-0.120621,-0.000036,0.920048,1.363810,0.3954,114.7215,0.00005510,0.049039,2026-04-19T10:22:25.563380
98,-0.072574,-0.000040,0.926071,1.364068,0.9003,100.0484,0.00005498,0.049029,2026-04-19T10:22:40.391544
99,0.147449,-0.000028,0.931089,1.364401,3.4656,7.5026,0.00005485,0.049020,2026-04-19T10:22:52.997338
100,0.090728,-0.000048,0.925143,1.364899,2.4338,27.7894,0.00005473,0.049010,2026-04-19T10:23:06.382415
101,-0.136961,-0.000055,0.922770,1.364062,0.3829,123.3464,0.00005460,0.049000,2026-04-19T10:23:23.518830
102,0.144303,-0.000042,0.935717,1.357838,3.3765,6.7859,0.00005447,0.048990,2026-04-19T10:23:36.104212
103,0.159181,-0.000073,0.939851,1.360066,3.3787,5.2432,0.00005434,0.048980,2026-04-19T10:23:48.702423
104,0.167803,-0.000047,0.933135,1.371825,4.5888,2.2962,0.00005421,0.048971,2026-04-19T10:24:00.798004
105,0.110055,-0.000086,0.938720,1.374130,2.5492,14.8562,0.00005408,0.048961,2026-04-19T10:24:14.215139
106,0.112692,-0.000087,0.925995,1.376316,2.7110,14.5794,0.00005394,0.048951,2026-04-19T10:24:27.573699
107,-0.129601,-0.000033,0.913695,1.374506,0.3818,132.8556,0.00005381,0.048941,2026-04-19T10:24:45.432291
108,0.175291,-0.000038,0.931123,1.372483,4.7134,2.3699,0.00005367,0.048931,2026-04-19T10:24:57.566789
109,0.131052,-0.000064,0.933068,1.368080,2.8815,11.5589,0.00005353,0.048922,2026-04-19T10:25:10.639190
110,0.125617,-0.000108,0.929306,1.359761,2.8720,12.8024,0.00005339,0.048912,2026-04-19T10:25:23.840716
111,-0.148615,-0.000078,0.918961,1.365404,0.2422,141.9460,0.00005325,0.048902,2026-04-19T10:25:41.589149
112,0.164588,-0.000037,0.938981,1.367492,4.3727,3.2207,0.00005311,0.048892,2026-04-19T10:25:53.784561
113,-0.085567,-0.000049,0.926184,1.365751,0.6376,120.9682,0.00005297,0.048883,2026-04-19T10:26:09.101988
114,-0.054218,-0.000079,0.932087,1.370290,0.9471,98.0609,0.00005282,0.048873,2026-04-19T10:26:24.108746
115,-0.007647,-0.000048,0.934058,1.373727,1.2469,79.7969,0.00005268,0.048863,2026-04-19T10:26:38.823013
116,0.013379,-0.000058,0.923983,1.367371,1.7331,51.4934,0.00005253,0.048853,2026-04-19T10:26:52.821168
117,-0.119174,-0.000046,0.916905,1.367330,0.3883,135.7201,0.00005238,0.048843,2026-04-19T10:27:08.959385
118,-0.148975,-0.000040,0.911217,1.374234,0.2383,134.6749,0.00005223,0.048834,2026-04-19T10:27:26.763243
119,-0.058635,-0.000086,0.914913,1.372042,0.8873,91.6011,0.00005208,0.048824,2026-04-19T10:27:41.847434
120,-0.112687,-0.000056,0.909759,1.371500,0.4904,125.4403,0.00005193,0.048814,2026-04-19T10:27:58.384180
121,0.163918,-0.000069,0.935022,1.365607,3.8243,4.6610,0.00005178,0.048804,2026-04-19T10:28:10.847047
122,-0.126401,-0.000029,0.908432,1.377862,0.3958,122.3442,0.00005163,0.048795,2026-04-19T10:28:27.620196
123,0.124721,-0.000059,0.936040,1.371390,2.8460,10.2220,0.00005147,0.048785,2026-04-19T10:28:40.848446
124,-0.131395,-0.000058,0.913279,1.374105,0.3208,134.6554,0.00005131,0.048775,2026-04-19T10:28:57.587539
125,0.170286,-0.000036,0.929419,1.363517,4.5781,4.2507,0.00005116,0.048765,2026-04-19T10:29:09.844107
126,-0.097109,-0.000081,0.925440,1.369224,0.6213,113.2140,0.00005100,0.048756,2026-04-19T10:29:25.346355
