episode,reward_mean,policy_loss,value_loss,entropy,avg_speed,avg_waiting,lr,entropy_coef,timestamp
227,0.004348,-0.000042,0.929227,1.301211,1.2901,76.2739,0.00003150,0.047781,2026-04-19T10:54:06.406613
228,-0.107412,-0.000052,0.908405,1.304469,0.3382,123.8579,0.00003129,0.047771,2026-04-19T10:54:24.059922
229,-0.062403,-0.000057,0.912980,1.309657,0.7889,100.4954,0.00003109,0.047761,2026-04-19T10:54:39.506388
230,0.202868,-0.000095,0.928694,1.286900,3.9580,4.9350,0.00003089,0.047752,2026-04-19T10:54:52.045141
231,0.192822,-0.000055,0.912754,1.284522,3.8060,4.1967,0.00003068,0.047742,2026-04-19T10:55:04.999339
232,0.127850,-0.000065,0.927227,1.300529,2.3594,12.2497,0.00003048,0.047733,2026-04-19T10:55:18.862442
233,-0.115630,-0.000064,0.905711,1.322649,0.3655,134.4148,0.00003027,0.047723,2026-04-19T10:55:37.118653
234,0.189742,-0.000086,0.921136,1.294753,3.8382,5.3595,0.00003007,0.047714,2026-04-19T10:55:50.182352
235,0.175268,-0.000027,0.920377,1.283355,3.4355,8.8976,0.00002987,0.047704,2026-04-19T10:56:02.996911
236,-0.111482,-0.000036,0.912914,1.324138,0.2760,130.3983,0.00002967,0.047695,2026-04-19T10:56:21.006233
237,0.193892,-0.000096,0.922713,1.284681,3.8589,7.1906,0.00002947,0.047685,2026-04-19T10:56:33.585214
238,0.150632,-0.000034,0.921416,1.297700,2.6858,11.6692,0.00002926,0.047676,2026-04-19T10:56:47.051393
239,-0.142892,-0.000050,0.911977,1.334033,0.2350,122.6296,0.00002906,0.047666,2026-04-19T10:57:05.321850
240,-0.104980,-0.000028,0.904788,1.316285,0.4626,122.1074,0.00002886,0.047656,2026-04-19T10:57:21.086704
241,-0.098586,-0.000058,0.914694,1.323901,0.4512,104.8909,0.00002866,0.047647,2026-04-19T10:57:36.930126
242,0.197105,-0.000055,0.931604,1.279235,3.6360,4.7394,0.00002846,0.047637,2026-04-19T10:57:49.430751
243,-0.110383,-0.000056,0.899749,1.317476,0.4208,110.2917,0.00002826,0.047628,2026-04-19T10:58:06.222183
244,-0.038477,-0.000024,0.924940,1.299361,0.8777,93.9656,0.00002806,0.047618,2026-04-19T10:58:21.261235
245,0.149614,-0.000037,0.917856,1.289353,2.7698,14.0117,0.00002787,0.047609,2026-04-19T10:58:34.665367
246,0.205308,-0.000064,0.924075,1.295590,4.6566,2.2998,0.00002767,0.047599,2026-04-19T10:58:46.854805
247,-0.116171,-0.000036,0.913439,1.315801,0.3490,132.4774,0.00002747,0.047590,2026-04-19T10:59:04.342726
248,0.195659,-0.000040,0.926518,1.280244,3.9166,6.8009,0.00002727,0.047580,2026-04-19T10:59:16.811839
249,0.184039,-0.000053,0.923058,1.285900,3.1728,10.5576,0.00002708,0.047571,2026-04-19T10:59:29.722970
250,0.123595,-0.000044,0.920264,1.297472,2.3262,21.8006,0.00002688,0.047561,2026-04-19T10:59:43.282195
251,-0.097577,-0.000042,0.909480,1.310577,0.3296,137.1828,0.00002669,0.047552,2026-04-19T11:00:00.397311
252,0.182417,-0.000030,0.945314,1.285537,3.2495,8.0022,0.00002649,0.047542,2026-04-19T11:00:13.307486
253,-0.095693,-0.000060,0.922467,1.331672,0.5210,113.8341,0.00002630,0.047533,2026-04-19T11:00:29.175098
254,-0.036729,-0.000061,0.924496,1.316996,0.8740,93.1908,0.00002611,0.047523,2026-04-19T11:00:44.643280
255,0.212198,-0.000025,0.948119,1.311880,5.1537,2.0366,0.00002591,0.047514,2026-04-19T11:00:56.707172
256,-0.078185,-0.000042,0.913961,1.324053,0.4840,118.3327,0.00002572,0.047504,2026-04-19T11:01:12.803945
257,-0.054110,-0.000027,0.906075,1.327145,0.8743,102.5959,0.00002553,0.047495,2026-04-19T11:01:28.942432
258,-0.016954,-0.000038,0.922191,1.319608,1.0831,82.1900,0.00002534,0.047485,2026-04-19T11:01:43.929412
259,0.198790,-0.000047,0.918464,1.293663,4.2553,4.0237,0.00002515,0.047476,2026-04-19T11:01:56.580019
260,0.130155,-0.000038,0.917538,1.296644,2.5045,14.1113,0.00002496,0.047466,2026-04-19T11:02:11.626593
261,0.203737,-0.000051,0.942938,1.304866,4.8588,2.7362,0.00002477,0.047457,2026-04-19T11:02:24.738428
262,-0.110970,-0.000014,0.921833,1.324214,0.3612,135.7389,0.00002458,0.047447,2026-04-19T11:02:42.347764
263,0.206364,-0.000045,0.941681,1.301602,4.6437,2.7158,0.00002439,0.047438,2026-04-19T11:02:55.496282
264,0.170895,-0.000078,0.938760,1.295740,3.0580,12.9029,0.00002421,0.047428,2026-04-19T11:03:08.938795
265,0.066768,-0.000050,0.923990,1.280120,1.8629,52.3696,0.00002402,0.047419,2026-04-19T11:03:23.350424
266,0.001910,-0.000050,0.907849,1.278564,1.1969,84.7024,0.00002383,0.047409,2026-04-19T11:03:39.062669
267,0.210687,-0.000036,0.945208,1.276039,4.6215,2.7645,0.00002365,0.047400,2026-04-19T11:03:52.270479
268,0.177297,-0.000062,0.915995,1.263424,3.1821,8.8594,0.00002347,0.047390,2026-04-19T11:04:05.953834
269,-0.095204,-0.000016,0.893957,1.301191,0.4107,122.6275,0.00002328,0.047381,2026-04-19T11:04:23.137380
270,0.177322,-0.000040,0.954695,1.263755,3.3033,9.6436,0.00002310,0.047371,2026-04-19T11:04:36.084633
271,0.139054,-0.000028,0.951337,1.297535,2.5809,12.3827,0.00002292,0.047362,2026-04-19T11:04:49.516981
272,-0.084940,-0.000082,0.905837,1.293876,0.4088,140.8979,0.00002274,0.047352,2026-04-19T11:05:08.040001
273,0.161910,-0.000025,0.928646,1.266912,2.9247,14.7925,0.00002256,0.047343,2026-04-19T11:05:21.165990
274,-0.086680,-0.000048,0.911078,1.290547,0.5307,121.3849,0.00002238,0.047333,2026-04-19T11:05:37.234835
275,-0.108168,-0.000040,0.893169,1.292143,0.2403,131.7599,0.00002220,0.047324,2026-04-19T11:05:54.677384
276,0.176934,-0.000039,0.947013,1.261232,3.2783,8.2122,0.00002203,0.047315,2026-04-19T11:06:07.240224
277,-0.113713,-0.000031,0.887229,1.298978,0.3910,119.0176,0.00002185,0.047305,2026-04-19T11:06:23.363994
278,0.201212,-0.000019,0.922072,1.271831,3.8381,4.4087,0.00002167,0.047296,2026-04-19T11:06:36.048872
279,0.094003,-0.000043,0.917200,1.284018,2.2029,38.3184,0.00002150,0.047286,2026-04-19T11:06:50.011508
280,-0.090040,-0.000029,0.916034,1.295967,0.4092,130.7516,0.00002133,0.047277,2026-04-19T11:07:07.061779
281,0.194229,-0.000025,0.929421,1.275086,3.3256,9.4576,0.00002115,0.047267,2026-04-19T11:07:20.133479
